,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
89,Gene Rhodes,1953,1953,G,6-1,170,"September 2, 1927",Western Kentucky
90,Rodrick Rhodes,1998,2000,G-F,6-6,225,"September 24, 1973","Kentucky, USC"
91,Glen Rice,1990,2004,F,6-8,215,"May 28, 1967",Michigan
92,Glen Rice Jr.,2014,2015,G,6-6,206,"January 1, 1991",Georgia Tech
93,Chris Richard,2008,2010,F,6-9,270,"December 25, 1984",Florida
94,Nick Richards,2021,2022,F-C,7-0,245,"November 29, 1997",Kentucky
95,Clint Richardson,1980,1987,G,6-3,195,"August 7, 1956",Seattle University
96,Jason Richardson,2002,2015,G,6-6,220,"January 20, 1981",Michigan State
97,Jeremy Richardson,2007,2009,G-F,6-6,185,"March 1, 1984",Delta State University
98,Josh Richardson,2016,2022,G,6-5,200,"September 15, 1993",Tennessee
99,Malachi Richardson,2017,2019,G,6-6,205,"January 5, 1996",Syracuse
100,Micheal Ray Richardson,1979,1986,G-F,6-5,189,"April 11, 1955",Montana
101,Norm Richardson,2002,2002,G,6-5,190,"July 24, 1979",Hofstra
102,Pooh Richardson,1990,1999,G,6-1,180,"May 14, 1966",UCLA
103,Quentin Richardson,2001,2013,G-F,6-6,223,"April 13, 1980",DePaul
104,Mitch Richmond*,1989,2002,G,6-5,215,"June 30, 1965",Kansas State
105,John Richter,1960,1960,F,6-9,225,"March 12, 1937",NC State
106,Dick Ricketts,1956,1958,F-C,6-7,215,"December 4, 1933",Duquesne
107,Isaiah Rider,1994,2002,G,6-5,215,"March 12, 1971",UNLV
108,Jackie Ridgle,1972,1972,G,6-4,195,"February 13, 1948",California
109,Luke Ridnour,2004,2015,G,6-2,175,"February 13, 1981",Oregon
110,Mel Riebe,1947,1949,G-F,5-11,180,"July 12, 1916",College of Wooster
111,Bob Riedy,1968,1968,F,6-6,215,"August 26, 1945",Duke
112,Jim Riffey,1951,1951,F,6-4,200,"December 14, 1923",Tulane
113,Antoine Rigaudeau,2003,2003,G,6-7,210,"December 17, 1971",
114,Tom Riker,1973,1975,C-F,6-10,225,"February 28, 1950",South Carolina
115,Bob Riley,1971,1971,F,6-9,235,"July 6, 1948",Mount St. Mary's University
116,Eric Riley,1994,1999,C,7-0,245,"June 2, 1970",Michigan
117,Pat Riley*,1968,1976,G-F,6-4,205,"March 20, 1945",Kentucky
118,Ron Riley,1973,1976,F,6-8,195,"November 11, 1950",USC
119,Grant Riller,2021,2021,G,6-2,190,"February 8, 1997",College of Charleston
120,Rich Rinaldi,1972,1974,G,6-3,195,"August 3, 1949",Saint Peter's College
121,Mike Riordan,1969,1977,G-F,6-4,200,"July 9, 1945",Providence
122,Arnie Risen*,1949,1958,C-F,6-9,200,"October 9, 1924",Ohio State
123,Tex Ritter,1949,1951,G-F,6-2,185,"February 26, 1924",Eastern Kentucky University
124,Ramón Rivas,1989,1989,F-C,6-10,260,"June 3, 1966",Temple
125,Austin Rivers,2013,2022,G,6-4,200,"August 1, 1992",Duke
126,David Rivers,1989,1992,G,6-0,170,"January 20, 1965",Notre Dame
127,Doc Rivers,1984,1996,G,6-4,185,"October 13, 1961",Marquette
128,Lee Robbins,1948,1949,F,6-3,175,"February 11, 1922",Colorado
129,Red Robbins,1968,1975,F-C,6-8,190,"September 30, 1944",Tennessee
130,Andre Roberson,2014,2021,G-F,6-7,210,"December 4, 1991",Colorado
131,Anthony Roberson,2006,2009,G,6-2,180,"February 14, 1983",Florida
132,Rick Roberson,1970,1976,C-F,6-9,231,"July 7, 1947",Cincinnati
133,Terrance Roberson,2001,2001,F,6-7,215,"December 30, 1976",Fresno State
134,Anthony Roberts,1978,1984,F-G,6-5,185,"April 15, 1955",Oral Roberts
135,Bill Roberts,1949,1950,C,6-9,210,"March 13, 1925",Wyoming
136,Brian Roberts,2013,2017,G,6-1,173,"December 3, 1985",Dayton
137,Fred Roberts,1984,1997,F-C,6-10,218,"August 14, 1960",BYU
138,Joe Roberts,1961,1968,F,6-6,214,"May 18, 1936",Ohio State
139,Lawrence Roberts,2006,2007,F,6-9,240,"October 20, 1982","Baylor, Mississippi State"
140,Marv Roberts,1972,1977,F-C,6-8,200,"January 29, 1950",Utah State University
141,Stanley Roberts,1992,2000,C,7-0,285,"February 7, 1970",LSU
142,Alvin Robertson,1985,1996,G,6-4,185,"July 22, 1962",Arkansas
143,Oscar Robertson*,1961,1974,G-F,6-5,205,"November 24, 1938",Cincinnati
144,Ryan Robertson,2000,2000,G,6-5,190,"October 2, 1976",Kansas
145,Tony Robertson,1978,1979,G,6-4,195,"January 1, 1956",West Virginia
146,Rick Robey,1979,1986,C-F,6-11,230,"January 30, 1956",Kentucky
147,Bernard Robinson,2005,2007,G-F,6-6,210,"December 26, 1980",Michigan
148,Chris Robinson,1997,1998,G,6-5,200,"April 2, 1974",Western Kentucky
149,Cliff Robinson,1980,1992,F,6-9,220,"March 13, 1960",USC
150,Clifford Robinson,1990,2007,F-C,6-10,225,"December 16, 1966",UConn
151,David Robinson*,1990,2003,C,7-1,235,"August 6, 1965",United States Naval Academy
152,Devin Robinson,2018,2019,F,6-8,200,"March 7, 1995",Florida
153,Duncan Robinson,2019,2022,G-F,6-7,215,"April 22, 1994","Williams, Michigan"
154,Eddie Robinson,2000,2004,G-F,6-8,210,"April 19, 1976",University of Central Oklahoma
155,Flynn Robinson,1967,1974,G,6-1,185,"April 28, 1941",Wyoming
156,Glenn Robinson,1995,2005,F,6-7,225,"January 10, 1973",Purdue
157,Glenn Robinson III,2015,2021,G-F,6-6,222,"January 8, 1994",Michigan
158,Jackie Robinson,1979,1982,F,6-6,210,"May 20, 1955",UNLV
159,Jamal Robinson,2001,2001,F,6-7,212,"December 27, 1973",Virginia
160,James Robinson,1994,2001,G,6-2,180,"August 31, 1970",Alabama
161,Jerome Robinson,2019,2021,G,6-4,190,"February 22, 1997",Boston College
162,Justin Robinson,2020,2022,G,6-1,195,"October 12, 1997",Virginia Tech
163,Larry Robinson,1991,2002,F-G,6-3,180,"January 11, 1968",Centenary (LA)
164,Mitchell Robinson,2019,2022,C,7-0,240,"April 1, 1998",Western Kentucky
165,Nate Robinson,2006,2016,G,5-9,180,"May 31, 1984",Washington
166,Oliver Robinson,1983,1983,G,6-4,180,"March 13, 1960",UAB
167,Ronnie Robinson,1974,1975,F,6-8,200,"March 9, 1951",Memphis
168,Rumeal Robinson,1991,1997,G,6-2,195,"November 13, 1966",Michigan
169,Samuel Robinson,1971,1972,F,6-7,190,"January 1, 1948",Cal State Long Beach
170,Thomas Robinson,2013,2017,F,6-10,237,"March 17, 1991",Kansas
171,Truck Robinson,1975,1985,F-C,6-7,225,"October 4, 1951",Tennessee State
172,Wayne Robinson,1981,1981,F,6-8,217,"April 19, 1958",Virginia Tech
173,Wilbert Robinson,1974,1974,G,6-2,175,"December 25, 1949",West Virginia
174,Jeremiah Robinson-Earl,2022,2022,F,6-9,230,"November 3, 2000",Villanova
175,Bill Robinzine,1976,1982,F,6-7,230,"January 20, 1953",DePaul
176,Dave Robisch,1972,1984,C-F,6-10,235,"December 22, 1949",Kansas
177,Isaiah Roby,2020,2022,F,6-8,230,"February 3, 1998",Nebraska
178,Red Rocha,1948,1957,C-F,6-9,185,"September 18, 1923",Oregon State
179,John Roche,1972,1982,G,6-3,170,"September 26, 1949",South Carolina
180,Gene Rock,1948,1948,G,5-9,155,"November 4, 1921",USC
181,Jack Rocker,1948,1948,C-F,6-5,185,"August 12, 1922",California
182,Guy Rodgers*,1959,1970,G,6-0,185,"September 1, 1935",Temple
183,Dennis Rodman*,1987,2000,F,6-7,210,"May 13, 1961",Southeastern Oklahoma State University
184,Sergio Rodríguez,2007,2017,G,6-3,176,"June 12, 1986",
185,Lou Roe,1996,1997,F,6-7,220,"July 14, 1972",UMass
186,Carlos Rogers,1995,2002,C-F,6-11,220,"February 6, 1971","Little Rock, Tennessee State"
187,Harry Rogers,1976,1976,F,6-7,195,"December 31, 1950",Saint Louis
188,Johnny Rogers,1987,1988,F-C,6-10,225,"December 30, 1963","Stanford, University of California, Irvine"
189,Marshall Rogers,1977,1977,G,6-1,190,"August 27, 1953",University of Texas Rio Grande Valley
190,Rodney Rogers,1994,2005,F,6-7,235,"June 20, 1971",Wake Forest
191,Roy Rogers,1997,2000,F,6-10,235,"August 19, 1973",Alabama
192,Willie Rogers,1969,1969,G-F,6-3,185,"September 11, 1945",Oklahoma
193,Al Roges,1954,1955,G-F,6-4,195,"October 25, 1930",Long Island University
194,Ken Rohloff,1964,1964,G,6-0,195,"April 18, 1939",NC State
195,Kenny Rollins,1949,1953,G,6-0,168,"September 14, 1923",Kentucky
196,Phil Rollins,1959,1961,G,6-2,185,"January 19, 1934",Louisville
197,Tree Rollins,1978,1995,C,7-1,235,"June 16, 1955",Clemson
198,Lorenzo Romar,1981,1985,G,6-1,175,"November 13, 1958",Washington
199,Rajon Rondo,2007,2022,G,6-1,180,"February 22, 1986",Kentucky
200,Jerry Rook,1970,1970,F,6-5,219,"October 27, 1943",Arkansas State University
201,Sean Rooks,1993,2004,C,6-10,250,"September 9, 1969",Arizona
202,Derrick Rose,2009,2022,G,6-2,200,"October 4, 1988",Memphis
203,Jalen Rose,1995,2007,G-F,6-8,210,"January 30, 1973",Michigan
204,Malik Rose,1997,2009,F-C,6-7,250,"November 23, 1974",Drexel
205,Rob Rose,1989,1989,G,6-5,180,"December 27, 1964",George Mason
206,Petey Rosenberg,1947,1947,G,5-10,165,"April 7, 1918",Saint Joseph's
207,Lennie Rosenbluth,1958,1959,F,6-4,190,"January 22, 1933",UNC
208,Hank Rosenstein,1947,1947,F,6-4,185,"June 16, 1920",City College of New York
209,Dick Rosenthal,1955,1957,F-G,6-5,205,"January 20, 1930",Notre Dame
210,Quinton Ross,2005,2011,G,6-6,195,"April 30, 1981",SMU
211,Terrence Ross,2013,2022,F-G,6-6,206,"February 5, 1991",Washington
212,Doug Roth,1990,1990,C,6-11,255,"August 24, 1967",Tennessee
213,Scott Roth,1988,1990,F,6-8,212,"June 3, 1963",Wisconsin
214,Irv Rothenberg,1947,1949,C,6-7,215,"December 31, 1921",Long Island University
215,Mickey Rottner,1947,1948,G,5-10,180,"March 23, 1919",Loyola Chicago
216,Dan Roundfield,1976,1987,F-C,6-8,205,"May 26, 1953",Central Michigan University
217,Giff Roux,1947,1949,F-C,6-5,195,"June 28, 1923",Kansas
218,Ron Rowan,1987,1987,G,6-5,200,"April 23, 1962","Notre Dame, St. John's"
219,Curtis Rowe,1972,1979,F,6-7,225,"July 2, 1949",UCLA
220,Jim Rowinski,1989,1990,F-C,6-8,250,"January 4, 1961",Purdue
221,Derrick Rowland,1986,1986,G,6-5,195,"June 21, 1959",State University of New York at Potsdam
222,Brian Rowsom,1988,1990,F,6-9,220,"October 23, 1965",UNC Wilmington
223,Brandon Roy,2007,2013,G,6-6,215,"July 23, 1984",Washington
224,Donald Royal,1990,1998,F,6-8,210,"May 22, 1966",Notre Dame
225,Reggie Royals,1975,1975,C,6-10,200,"September 18, 1950",Florida State
226,Bob Royer,1950,1950,G,5-10,155,"October 15, 1927",Indiana State University
227,Clifford Rozier,1995,1998,C-F,6-11,245,"October 31, 1972","UNC, Louisville"
228,Terry Rozier,2016,2022,G,6-1,190,"March 17, 1994",Louisville
229,Ricky Rubio,2012,2022,G,6-2,190,"October 21, 1990",
230,Guy Rucker,2003,2003,F-C,6-11,265,"July 27, 1977",Iowa
231,Delaney Rudd,1990,1993,G,6-2,180,"November 8, 1962",Wake Forest
232,John Rudd,1979,1979,F,6-7,230,"August 7, 1955",McNeese State University
233,Damjan Rudež,2015,2017,F,6-10,228,"June 17, 1986",
234,John Rudometkin,1963,1965,F,6-6,205,"June 6, 1940",USC
235,Michael Ruffin,2000,2009,F,6-9,246,"January 21, 1977",Tulsa
236,Trevor Ruffin,1995,1996,G,6-1,185,"September 26, 1970",Hawaii
237,Paul Ruffner,1971,1976,C-F,6-10,225,"October 15, 1948",BYU
238,Joe Ruklick,1960,1962,F-C,6-9,220,"August 3, 1938",Northwestern
239,Jeff Ruland,1982,1993,C-F,6-10,240,"December 16, 1958",Iona College
240,Bob Rule,1968,1975,C-F,6-9,220,"June 29, 1944",Colorado State
241,Jerry Rullo,1947,1950,G,5-10,165,"June 23, 1923",Temple
242,Stefano Rusconi,1996,1996,C-F,6-9,240,"October 2, 1968",
243,Brandon Rush,2009,2017,G-F,6-6,220,"July 7, 1985",Kansas
244,Kareem Rush,2003,2010,G,6-6,215,"October 30, 1980",Missouri
245,Bill Russell*,1957,1969,C,6-10,215,"February 12, 1934",San Francisco
246,Bryon Russell,1994,2006,F,6-7,225,"December 31, 1970",Cal State Long Beach
247,Campy Russell,1975,1985,F,6-8,215,"January 12, 1952",Michigan
248,Cazzie Russell,1967,1978,F-G,6-5,218,"June 7, 1944",Michigan
249,D'Angelo Russell,2016,2022,G,6-4,193,"February 23, 1996",Ohio State
250,Frank Russell,1973,1973,G,6-3,180,"April 17, 1949",Detroit Mercy
251,Pierre Russell,1972,1973,F-G,6-4,190,"December 13, 1949",Kansas
252,Rubin Russell,1968,1968,G,6-2,180,"November 7, 1944",University of North Texas
253,Walker Russell,1983,1988,G,6-5,195,"October 26, 1960","Houston, Western Michigan"
254,Walker Russell,2012,2012,G,6-0,170,"October 6, 1982",Jacksonville State University
255,Matt Ryan,2022,2022,F,6-7,215,"April 17, 1997","Notre Dame, Vanderbilt, Chattanooga"
0,Arvydas Sabonis*,1996,2003,C,7-3,279,"December 19, 1964",
1,Domantas Sabonis,2017,2022,F-C,6-11,240,"May 3, 1996",Gonzaga
2,Robert Sacre,2013,2016,C,7-0,270,"June 6, 1989",Gonzaga
3,Ed Sadowski,1947,1950,C,6-5,240,"July 11, 1917",Seton Hall
4,Kenny Sailors,1947,1951,G,5-10,175,"January 14, 1921",Wyoming
5,John Salley,1987,2000,F-C,6-11,230,"May 16, 1964",Georgia Tech
6,John Salmons,2003,2015,G,6-7,210,"December 12, 1979",Miami (FL)
7,Al Salvadori,1968,1968,F,6-9,220,"May 6, 1945",South Carolina
8,Kevin Salvadori,1997,1998,C,7-0,231,"December 30, 1970",UNC
9,Soumaila Samake,2001,2003,C,7-0,230,"March 18, 1978",
10,Luka Šamanić,2020,2021,F,6-10,227,"January 9, 2000",
11,Cheikh Samb,2008,2009,C,7-1,245,"October 22, 1984",
12,Brandon Sampson,2019,2019,G,6-5,184,"May 1, 1997",LSU
13,JaKarr Sampson,2015,2021,G-F,6-7,214,"March 20, 1993",St. John's
14,Jamal Sampson,2003,2007,F-C,6-11,235,"May 15, 1983",California
15,Ralph Sampson*,1984,1992,C-F,7-4,228,"July 7, 1960",Virginia
16,Samardo Samuels,2011,2013,F,6-9,260,"January 9, 1989",Louisville
17,Pepe Sánchez,2001,2003,G,6-4,195,"May 8, 1977",Temple
18,Al Sanders,1973,1973,F,6-7,240,"January 1, 1950",LSU
19,Frankie Sanders,1979,1981,F-G,6-6,200,"January 23, 1957",Southern University and A&M College
20,Jeff Sanders,1990,1993,F,6-8,225,"January 14, 1966",Georgia Southern University
21,Larry Sanders,2011,2017,C-F,6-11,235,"November 21, 1988",VCU
22,Melvin Sanders,2006,2006,G-F,6-5,210,"January 3, 1981","Seward County Community College, Oklahoma State"
23,Mike Sanders,1983,1993,F-G,6-6,210,"May 7, 1960",UCLA
24,Tom Sanders*,1961,1973,F,6-6,210,"November 8, 1938",NYU
25,Ron Sanford,1972,1972,F,6-9,215,"June 11, 1946",New Mexico
26,Daniel Santiago,2001,2005,C,7-1,256,"June 24, 1976","New Mexico, Saint Vincent College"
27,Bob Santini,1956,1956,F,6-5,190,"February 17, 1935",Iona College
28,Wayne Sappleton,1985,1985,F,6-9,215,"November 17, 1960",Loyola Chicago
29,Dario Šarić,2017,2021,F-C,6-10,225,"April 8, 1994",
30,Olivier Sarr,2022,2022,C,7-0,237,"February 20, 1999","Wake Forest, Kentucky"
31,Jason Sasser,1997,1999,F,6-7,225,"January 13, 1974",Texas Tech
32,Jeryl Sasser,2002,2003,G,6-6,200,"February 13, 1979",SMU
33,Tomáš Satoranský,2017,2022,G,6-7,210,"October 30, 1991",
34,Kenny Satterfield,2002,2003,G,6-2,186,"April 10, 1981",Cincinnati
35,Pep Saul,1950,1955,G-F,6-2,185,"February 16, 1924",Seton Hall
36,Woody Sauldsberry,1958,1966,F-C,6-7,220,"July 11, 1934",Texas Southern
37,Glynn Saulters,1969,1969,G,6-2,175,"February 10, 1945",Louisiana-Monroe
38,Fred Saunders,1975,1978,F,6-7,210,"June 13, 1951",Syracuse
39,Don Savage,1952,1957,F-G,6-3,205,"April 9, 1928",LeMoyne College
40,Predrag Savović,2003,2003,G,6-6,225,"May 21, 1976","UAB, Hawaii"
41,Alan Sawyer,1951,1951,F,6-5,195,"January 1, 1928",UCLA
42,Brian Scalabrine,2002,2012,F,6-9,241,"March 18, 1978",USC
43,Alex Scales,2006,2006,G,6-4,185,"July 3, 1978",Oregon
44,DeWayne Scales,1981,1984,F,6-8,208,"December 28, 1958",LSU
45,Frank Schade,1973,1973,G,6-1,170,"January 22, 1950",University of Wisconsin-Eau Claire
46,Ben Schadler,1948,1948,F,6-0,185,"March 9, 1924",Northwestern
47,Herm Schaefer,1949,1950,G-F,6-0,175,"December 20, 1918",Indiana
48,Billy Schaeffer,1974,1976,F,6-5,200,"December 11, 1951",St. John's
49,Bob Schafer,1956,1957,G,6-3,195,"March 29, 1933",Villanova
50,Jordan Schakel,2022,2022,F,6-6,200,"June 13, 1998",San Diego State
51,Ben Scharnus,1947,1949,F,6-2,173,"December 11, 1917",Seton Hall
52,Marv Schatzman,1950,1950,F,6-5,200,"February 18, 1927",Saint Louis
53,Fred Schaus,1950,1954,F,6-5,205,"June 30, 1925",West Virginia
54,Danny Schayes,1982,1999,C-F,6-11,235,"May 10, 1959",Syracuse
55,Dolph Schayes*,1950,1964,F-C,6-8,220,"May 19, 1928",NYU
56,Ossie Schectman,1947,1947,G,6-0,175,"March 30, 1919",Long Island University
57,Steve Scheffler,1991,1997,C-F,6-9,250,"September 3, 1967",Purdue
58,Tom Scheffler,1985,1985,C,6-11,240,"October 27, 1954",Purdue
59,Dave Schellhase,1967,1968,G,6-3,205,"October 14, 1944",Purdue
60,Luke Schenscher,2006,2007,C,7-1,255,"December 31, 1982",Georgia Tech
61,Herb Scherer,1951,1952,C,6-9,212,"December 21, 1928",Long Island University
62,Dwayne Schintzius,1991,1999,C,7-1,260,"October 14, 1968",Florida
63,Dale Schlueter,1969,1978,C,6-10,225,"November 12, 1945",Colorado State
64,Otto Schnellbacher,1949,1949,F-G,6-4,185,"April 15, 1923",Kansas
65,Dick Schnittker,1951,1958,F,6-5,200,"May 27, 1928",Ohio State
66,Russ Schoene,1983,1989,F-C,6-10,210,"April 16, 1960",Chattanooga
67,Admiral Schofield,2020,2022,G-F,6-5,241,"March 30, 1997",Tennessee
68,Dave Scholz,1970,1970,F,6-8,220,"April 12, 1948",Illinois
69,Milt Schoon,1947,1950,C,6-7,230,"February 25, 1922",Valparaiso
70,Detlef Schrempf,1986,2001,F-C,6-10,235,"January 21, 1963",Washington
71,Dennis Schröder,2014,2022,G,6-3,172,"September 15, 1993",
72,Howie Schultz,1950,1953,C-F,6-6,200,"July 3, 1922",Hamline University
73,Dick Schulz,1947,1950,F-G,6-2,192,"January 3, 1917",Wisconsin
74,Roger Schurig,1968,1968,G,6-3,185,"April 3, 1942",Vanderbilt
75,John Schweitz,1985,1987,G,6-6,210,"April 19, 1960",Richmond
76,Luis Scola,2008,2017,F,6-9,240,"April 30, 1980",
77,Fred Scolari,1947,1955,G,5-10,180,"March 1, 1922",San Francisco
78,Alvin Scott,1978,1985,F-G,6-7,185,"September 14, 1955",Oral Roberts
79,Brent Scott,1997,1997,F-C,6-10,250,"June 15, 1971",Rice University
80,Byron Scott,1984,1997,G,6-3,195,"March 28, 1961",Arizona State
81,Charlie Scott*,1971,1980,G-F,6-5,175,"December 15, 1948",UNC
82,Dennis Scott,1991,2000,F,6-8,229,"September 5, 1968",Georgia Tech
83,James Scott,1997,1997,F,6-6,180,"June 6, 1972",St. John's
84,Mike Scott,2013,2021,F,6-7,237,"July 16, 1988",Virginia
85,Ray Scott,1962,1972,F-C,6-9,215,"July 12, 1938",University of Portland
86,Shawnelle Scott,1997,2002,C,6-10,250,"June 16, 1972",St. John's
87,Tre Scott,2022,2022,F,6-8,225,"November 25, 1996",Cincinnati
88,Willie Scott,1970,1970,F,6-5,210,"May 22, 1947",Alabama State University
89,Paul Scranton,1968,1968,F,6-5,230,"April 30, 1944",Cal Poly Pomona
90,Jay Scrubb,2021,2022,G-F,6-5,220,"September 1, 2000",John A. Logan College
91,Carey Scurry,1986,1988,F,6-7,188,"December 4, 1962",Long Island University
92,Bruce Seals,1974,1978,F,6-8,210,"June 18, 1953",Xavier University of Louisiana
93,Shea Seals,1998,1998,G,6-5,210,"August 26, 1975",Tulsa
94,Malik Sealy,1993,2000,G,6-8,190,"February 1, 1970",St. John's
95,Ed Searcy,1976,1976,F,6-6,210,"April 17, 1952",St. John's
96,Kenny Sears,1956,1964,F,6-9,198,"August 17, 1933",Santa Clara
97,Wayne See,1950,1950,G,6-3,190,"November 3, 1923",Northern Arizona University
98,Thabo Sefolosha,2007,2020,G-F,6-6,215,"May 2, 1984",
99,Rony Seikaly,1989,1999,C,6-11,230,"May 10, 1965",Syracuse
100,Glen Selbo,1950,1950,G-F,6-3,196,"March 29, 1926",Wisconsin
101,Josh Selby,2012,2013,G,6-2,183,"March 27, 1991",Kansas
102,Wayne Selden,2017,2022,G-F,6-5,230,"September 30, 1994",Kansas
103,Brad Sellers,1987,1993,C-F,7-0,210,"December 17, 1962","Wisconsin, Ohio State"
104,Phil Sellers,1977,1977,F-G,6-4,195,"November 20, 1953",Rutgers University
105,Rollie Seltz,1950,1950,G-F,5-10,165,"January 25, 1924",Hamline University
106,Lester Selvage,1968,1970,G,6-1,175,"March 7, 1943",Truman State University
107,Frank Selvy,1955,1964,G-F,6-3,180,"November 9, 1932",Furman University
108,Jim Seminoff,1947,1950,G-F,6-2,190,"September 1, 1922",USC
109,Mouhamed Sene,2007,2009,C-F,6-11,230,"May 12, 1986",
110,George Senesky,1947,1954,G,6-2,179,"April 4, 1922",Saint Joseph's
111,Alperen Şengün,2022,2022,F,6-9,235,"July 25, 2002",
112,Kevin Séraphin,2011,2017,F,6-9,285,"December 7, 1989",
113,Ansu Sesay,2002,2005,F,6-9,225,"July 29, 1976",Ole Miss
114,Ramon Sessions,2008,2018,G,6-3,190,"April 11, 1986",Nevada
115,Ha Seung-Jin,2005,2006,C,7-3,305,"August 4, 1985",
116,Tom Sewell,1985,1985,G,6-5,185,"March 11, 1962",Lamar
117,Collin Sexton,2019,2022,G,6-1,190,"January 4, 1999",Alabama
118,Paul Seymour,1948,1960,G-F,6-1,180,"January 30, 1928",Toledo
119,Nick Shaback,1947,1947,G,5-11,180,"September 10, 1918",
120,Lynn Shackelford,1970,1970,F,6-5,190,"August 27, 1947",UCLA
121,Charles Shackleford,1989,1999,F-C,6-10,225,"April 22, 1966",NC State
122,Carl Shaeffer,1950,1951,F-G,6-3,185,"October 25, 1924",Alabama
123,Lee Shaffer,1962,1964,F,6-7,220,"February 23, 1939",UNC
124,Mustafa Shakur,2011,2014,G,6-3,190,"August 18, 1984",Arizona
125,Landry Shamet,2019,2022,G,6-4,190,"March 13, 1997",Wichita State
126,God Shammgod,1998,1998,G,6-0,169,"April 29, 1976",Providence
127,Earl Shannon,1947,1949,G-F,5-11,170,"November 23, 1921",Rhode Island
128,Howie Shannon,1949,1950,G-F,6-2,175,"June 10, 1923","University of North Texas, Kansas State"
129,Chuck Share,1952,1960,C,6-11,235,"March 14, 1927",Bowling Green
130,Bill Sharman*,1951,1961,G,6-1,175,"May 25, 1926",USC
131,Day'Ron Sharpe,2022,2022,C,6-11,265,"November 6, 2001",UNC
132,Walter Sharpe,2009,2009,F,6-9,245,"July 18, 1986","Mississippi State, UAB"
133,John Shasky,1989,1991,C,6-11,235,"July 31, 1964",Minnesota
134,Ron Shavlik,1957,1958,F,6-8,200,"December 4, 1933",NC State
135,Brian Shaw,1989,2003,G,6-6,190,"March 22, 1966","Saint Mary's, UC Santa Barbara"
136,Casey Shaw,1999,1999,C,6-11,260,"July 20, 1975",Toledo
137,Marial Shayok,2020,2020,G,6-5,198,"July 26, 1995","Virginia, Iowa State"
138,Bob Shea,1947,1947,F,6-2,194,"September 11, 1924",Rhode Island
139,Fred Sheffield,1947,1947,F,6-2,165,"November 5, 1923",Utah
140,Craig Shelton,1981,1982,F,6-7,210,"May 1, 1957",Georgetown
141,Lonnie Shelton,1977,1986,F-C,6-8,240,"October 19, 1955",Oregon State
142,Tornike Shengelia,2013,2014,F,6-9,217,"October 5, 1991",
143,Billy Shepherd,1973,1975,G,5-10,160,"November 18, 1949",Butler
144,Jeff Sheppard,1999,1999,G,6-3,190,"September 29, 1974",Kentucky
145,Steve Sheppard,1978,1979,F,6-6,215,"March 21, 1954",Maryland
146,Ed Sherod,1983,1983,G,6-2,170,"September 13, 1959",VCU
147,Charley Shipp,1950,1950,G-F,6-1,200,"December 3, 1913",Catholic University of America
148,Paul Shirley,2003,2005,F-C,6-10,230,"December 23, 1977",Iowa State
149,Gene Short,1976,1976,F,6-6,200,"August 7, 1953",Jackson State University
150,Purvis Short,1979,1990,F-G,6-7,210,"July 2, 1957",Jackson State University
151,Dexter Shouse,1990,1990,G,6-2,200,"March 24, 1963",University of South Alabama
152,Dick Shrider,1949,1949,G,6-2,190,"February 7, 1923",Ohio University
153,Gene Shue,1955,1964,G,6-2,170,"December 18, 1931",Maryland
154,John Shumate,1976,1981,F-C,6-9,235,"April 6, 1952",Notre Dame
155,Iman Shumpert,2012,2021,G,6-5,215,"June 26, 1990",Georgia Tech
156,Alexey Shved,2013,2015,G,6-6,190,"December 16, 1988",
157,Pascal Siakam,2017,2022,F,6-9,230,"April 2, 1994",New Mexico State
158,Jordan Sibert,2019,2019,G,6-4,187,"August 1, 1992","Ohio State, Dayton"
159,Sam Sibert,1973,1973,F,6-7,215,"February 11, 1949",Kentucky State University
160,Mark Sibley,1974,1974,G,6-2,175,"November 13, 1950",Northwestern
161,Jerry Sichting,1981,1990,G,6-1,168,"November 29, 1956",Purdue
162,Donald Sidle,1969,1972,F-C,6-8,215,"June 21, 1946",Oklahoma
163,Larry Siegfried,1964,1972,F,6-3,190,"May 22, 1939",Ohio State
164,Ralph Siewert,1947,1947,C,7-1,230,"December 31, 1923",Dakota Wesleyan University
165,Jack Sikma*,1978,1991,C-F,6-11,230,"November 14, 1955",Illinois Wesleyan University
166,James Silas,1973,1982,G,6-1,180,"February 11, 1949",Stephen F. Austin
167,Paul Silas,1965,1980,F-C,6-7,220,"July 12, 1943",Creighton
168,Xavier Silas,2012,2018,G,6-5,205,"January 22, 1988","Colorado, Northern Illinois"
169,Garret Siler,2011,2011,C,6-11,305,"October 25, 1986",Augusta State University
170,Mike Silliman,1971,1971,F,6-6,225,"May 5, 1944",United States Military Academy
171,Chris Silva,2020,2022,F,6-8,234,"September 19, 1996",South Carolina
172,Wayne Simien,2006,2007,F,6-9,255,"March 9, 1983",Kansas
173,Ben Simmons,2018,2021,G-F,6-11,240,"July 20, 1996",LSU
174,Bobby Simmons,2002,2012,G-F,6-7,210,"June 2, 1980",DePaul
175,Cedric Simmons,2007,2009,F,6-9,235,"January 3, 1986",NC State
176,Connie Simmons,1947,1956,C-F,6-8,222,"March 15, 1925",
177,Grant Simmons,1968,1969,G,6-3,190,"March 7, 1943",Nebraska
178,Johnny Simmons,1947,1947,G,6-1,184,"July 7, 1924",NYU
179,Jonathon Simmons,2016,2019,G-F,6-6,195,"September 14, 1989",Houston
